ID;EXTERNAL_CODE;EXTERNAL_ID;NAME;FEATURES;PRICE;BARCODE;VENDOR_CODE;NDS;PAYMENT_SUBJECT;GROUP;UNIT_CODE;PURCHASE_PRICE;WEIGHTED;ALCOHOL;GTIN;MARK_TYPE;GROUPED;CONTAINER;MODIFIERS;INGREDIENTS;GOOD_TYPE;CONTRACTOR_INN;CONTRACTOR_ACTIVITY_TYPE;COUNTY_CODE;CUSTOM_DECLARATION;PLU_CODE;ORG_MEMBER_POINTS
;3258666;;Ветчина Егорьевс.КГФ Барская к зав.300г;;185.61;;;;1;;796;134.02;;;;0;;;;;DEFAULT;;;;;;
;3276002;;Ветчина Империя Вкуса с индейкой400г;;153.96;;;;1;;796;115.9;;;;0;;;;;DEFAULT;;;;;;
;3116066;;Ветчина Микоян из бедра инд.600г шт;;191.62;;;;1;;796;144.72;;;;0;;;;;DEFAULT;;;;;;
;3285616;;Ветчина Рублевский Д/завтрака свин.400 г;;243.3;;;;1;;796;194.84;;;;0;;;;;DEFAULT;;;;;;
;3157354;;Ветчина Русский Изыскъ классич.в/с 325г;;155.29;;;;1;;796;124.97;;;;0;;;;;DEFAULT;;;;;;
;3204489;;Ветчина Эколь кур.Хал.ГЗС нар.250г шт;;136.8;;;;1;;796;106.53;;;;0;;;;;DEFAULT;;;;;;
;2001731;;Виноград Red Glob 0,7-0,75кг фас;;236.03;;;;1;;796;224.79;;;;0;;;;;DEFAULT;;;;;;
;2002231;;Виноград Thompson б/к.бел.0,35-0,5кг фас;;391.4;;;;1;;796;372.76;;;;0;;;;;DEFAULT;;;;;;
;2002038;;Виноград красный б/кост.0,45-0,5кг фас;;445.67;;;;1;;796;424.44;;;;0;;;;;DEFAULT;;;;;;
;3047267;;Вишня 4сезона без косточки 300г;;115.57;;;;1;;796;83.2;;;;0;;;;;DEFAULT;;;;;;
;3275547;;Вишня Good-Food сушеная б/кост130г;;142.45;;;;1;;796;135.66;;;;0;;;;;DEFAULT;;;;;;
